component,N,B,mean_ms,std_ms
T_quant,146,2,2.8417735418770462,0.057607855416878205
T_quant,146,4,4.755027738865465,0.18883268349897428
T_quant,147,1,2.606721561169252,0.05133337160755767
T_quant,147,2,2.8418330987915397,0.0188951779651017
T_quant,147,4,4.872080996865407,0.2521803363349426
T_quant,148,1,2.6502133964095265,0.20926803693515633
T_quant,148,2,2.8591910493560135,0.08793315612163827
T_quant,148,4,4.84625578392297,0.21803043743299846
T_quant,149,1,2.641177806071937,0.19412288267023925
T_quant,149,2,2.8574201581068337,0.06610716133785847
T_quant,149,4,4.872405357891694,0.2068666747659943
T_quant,150,1,2.6076460746116936,0.03678091138166572
T_quant,150,2,2.8733019810169935,0.061070462366813925
T_quant,150,4,4.912495349999517,0.2452120806043766
T_quant,151,1,2.6178055664058775,0.04754368241618771
T_quant,151,2,2.8943307185545564,0.22021119617292975
T_quant,151,4,4.967861119657755,0.2419314976195081
T_quant,152,1,2.6175437518395483,0.023365335679794413
T_quant,152,2,2.8929617803078145,0.11708778750430858
T_quant,152,4,4.9547327985055745,0.2640654356806758
T_quant,153,1,2.6342480850871652,0.11198771442892591
T_quant,153,2,2.8754248726181686,0.026218246440423518
T_quant,153,4,4.954002246959135,0.2220882022498583
T_quant,154,1,2.616434780647978,0.03889719038483441
T_quant,154,2,2.8714542440138757,0.030607634573425004
T_quant,154,4,5.073875670786947,0.2434742397559725
T_quant,155,1,2.6430302928201854,0.1338075818146785
T_quant,155,2,2.876477027311921,0.016942064115473856
T_quant,155,4,4.987295162864029,0.22349531707499995
T_quant,156,1,2.6211873057764024,0.020034982456253663
T_quant,156,2,2.9302454774733633,0.24291342008079073
T_quant,156,4,5.090648379409686,0.25084647700868173
T_quant,157,1,2.6244357274845243,0.0448466910898818
T_quant,157,2,2.8911808889824897,0.08178683930715241
T_quant,157,4,5.133277218556032,0.27727114038403444
T_quant,158,1,2.6269195054192096,0.04770969063466883
T_quant,158,2,2.8902743570506573,0.035089907049298534
T_quant,158,4,5.181115512968972,0.2663036814439839
T_quant,159,1,2.6189630548469722,0.015142292068247458
T_quant,159,2,2.89282284444198,0.035354212707276865
T_quant,159,4,5.210863075917587,0.2425725869337775
T_quant,160,1,2.6279394095763564,0.03386195728936573
T_quant,160,2,2.8989858145359904,0.035409491638770295
T_quant,160,4,5.236105801304802,0.2469665117571127
T_quant,161,1,2.691750646336004,0.023162361166736856
T_quant,161,2,2.972898264415562,0.08556658903613522
T_quant,161,4,5.281162528553978,0.24011614147256463
T_quant,162,1,2.704718674067408,0.06595348248504583
T_quant,162,2,2.971888341708109,0.06613764817891565
T_quant,162,4,5.272194647695869,0.22248269023278772
T_quant,163,1,2.7041333995293826,0.05393426486846054
T_quant,163,2,2.9915148427244276,0.10609380870647821
T_quant,163,4,5.360256331041455,0.23270938162627933
T_quant,164,1,2.6910286268685013,0.016011760600664376
T_quant,164,2,3.0011404608376324,0.17822795432206545
T_quant,164,4,5.1532632287126034,0.2849364726032384
T_quant,165,1,2.7293030824512243,0.1557400568663256
T_quant,165,2,2.9824480426032096,0.047601513517744845
T_quant,165,4,5.380997690372169,0.2706720282151637
T_quant,166,1,2.7176069549750537,0.08965656362408575
T_quant,166,2,2.9868375812657177,0.025565377469371375
T_quant,166,4,5.379466115264222,0.23229332865256672
T_quant,167,1,2.7080484095495194,0.016380140754924652
T_quant,167,2,2.9863249289337546,0.020635435075365315
T_quant,167,4,5.373070172499865,0.2605336548585602
T_quant,168,1,2.7008147339802235,0.013732085066829332
T_quant,168,2,2.982706675538793,0.014769350072351388
T_quant,168,4,5.396648598834872,0.2625149762465917
T_quant,169,1,2.714160126633942,0.01991414520442254
T_quant,169,2,3.025299565633759,0.14616159675083681
T_quant,169,4,5.412993360077962,0.24948645160582805
T_quant,170,1,2.7251595456618816,0.06797241806143656
T_quant,170,2,3.0266681977082044,0.15937201258823494
T_quant,170,4,5.444216659525409,0.2607092350133821
T_quant,171,1,2.726304961834103,0.07623822552478764
T_quant,171,2,3.000832978868857,0.013433067258696054
T_quant,171,4,5.498476359061897,0.2646839452432258
T_quant,172,1,2.715751660289243,0.02130130464085661
T_quant,172,2,3.010761139448732,0.029141934586329254
T_quant,172,4,5.301833623088896,0.295391519949503
T_quant,173,1,2.724603982642293,0.03677756996567183
T_quant,173,2,3.0208076746203005,0.04454919423771579
T_quant,173,4,5.429515743162483,0.261990865583692
T_quant,174,1,2.73455367423594,0.061795927539382935
