method,image_idx,ratio,n_topk,n_spatial,n_out
advanced,394,0.1840277777777778,106,0,107
advanced,395,0.2204861111111111,127,0,128
advanced,396,0.19270833333333334,111,0,112
advanced,397,0.2048611111111111,118,0,119
advanced,398,0.2065972222222222,119,0,120
advanced,399,0.21354166666666666,123,0,124
advanced,400,0.19618055555555555,113,0,114
advanced,401,0.2048611111111111,118,0,119
advanced,402,0.21180555555555555,122,0,123
advanced,403,0.2170138888888889,125,0,126
advanced,404,0.203125,117,0,118
advanced,405,0.19791666666666666,114,0,115
advanced,406,0.1996527777777778,115,0,116
advanced,407,0.21354166666666666,123,0,124
advanced,408,0.2013888888888889,116,0,117
advanced,409,0.21180555555555555,122,0,123
advanced,410,0.2048611111111111,118,0,119
advanced,411,0.1875,108,0,109
advanced,412,0.19791666666666666,114,0,115
advanced,413,0.20833333333333334,120,0,121
advanced,414,0.19791666666666666,114,0,115
advanced,415,0.2048611111111111,118,0,119
advanced,416,0.1857638888888889,107,0,108
advanced,417,0.2013888888888889,116,0,117
advanced,418,0.171875,99,0,100
advanced,419,0.19791666666666666,114,0,115
advanced,420,0.1857638888888889,107,0,108
advanced,421,0.21354166666666666,123,0,124
advanced,422,0.19270833333333334,111,0,112
advanced,423,0.19618055555555555,113,0,114
advanced,424,0.19270833333333334,111,0,112
advanced,425,0.1875,108,0,109
advanced,426,0.21354166666666666,123,0,124
advanced,427,0.21354166666666666,123,0,124
advanced,428,0.20833333333333334,120,0,121
advanced,429,0.2013888888888889,116,0,117
advanced,430,0.1875,108,0,109
advanced,431,0.2152777777777778,124,0,125
advanced,432,0.1857638888888889,107,0,108
advanced,433,0.1996527777777778,115,0,116
advanced,434,0.21875,126,0,127
advanced,435,0.19270833333333334,111,0,112
advanced,436,0.21875,126,0,127
advanced,437,0.19791666666666666,114,0,115
advanced,438,0.2013888888888889,116,0,117
advanced,439,0.1684027777777778,97,0,98
advanced,440,0.1857638888888889,107,0,108
advanced,441,0.203125,117,0,118
advanced,442,0.20833333333333334,120,0,121
advanced,443,0.19618055555555555,113,0,114
advanced,444,0.2222222222222222,128,0,129
advanced,445,0.20833333333333334,120,0,121
advanced,446,0.2013888888888889,116,0,117
advanced,447,0.1875,108,0,109
advanced,448,0.18229166666666666,105,0,106
advanced,449,0.203125,117,0,118
advanced,450,0.21006944444444445,121,0,122
advanced,451,0.1857638888888889,107,0,108
advanced,452,0.21875,126,0,127
advanced,453,0.1909722222222222,110,0,111
advanced,454,0.18229166666666666,105,0,106
