method,image_idx,ratio,n_topk,n_spatial,n_out
plus,475,0.19791666666666666,114,462,577
plus,476,0.1909722222222222,110,466,577
plus,477,0.21180555555555555,122,454,577
plus,478,0.21180555555555555,122,454,577
plus,479,0.1996527777777778,115,460,576
plus,480,0.17881944444444445,103,472,576
plus,481,0.21354166666666666,123,452,576
plus,482,0.1875,108,468,577
plus,483,0.2170138888888889,125,451,577
plus,484,0.1892361111111111,109,466,576
plus,485,0.2048611111111111,118,457,576
plus,486,0.2048611111111111,118,458,577
plus,487,0.2204861111111111,127,448,576
plus,488,0.19618055555555555,113,462,576
plus,489,0.21875,126,449,576
plus,490,0.21180555555555555,122,454,577
plus,491,0.1996527777777778,115,461,577
plus,492,0.1892361111111111,109,466,576
plus,493,0.19444444444444445,112,464,577
plus,494,0.18229166666666666,105,470,576
plus,495,0.203125,117,458,576
plus,496,0.19791666666666666,114,462,577
plus,497,0.19618055555555555,113,463,577
plus,498,0.1996527777777778,115,460,576
plus,499,0.1875,108,468,577
